tarih,n3a,n6a,n1y,n2y,n3y,n5y,n7y,n9y,par2y,nokta,vade_min,vade_maks,nokta_kisa,nokta_orta,nokta_uzun,sapma_medyan,sapma_maks,egim_2y9y,egim_2y5y,egim_2y3a,kelebek_1_2_5,kelebek_2_5_9,f_1y1y,f_2y1y,f_2y3y,f_5y4y,tlref,politika,aofm,koridor_alt,koridor_ust,bist_on,politika_ger,fon_top,aofm_ham,aofm_gecerli,politika_birlesik,tlref_bilesik,aofm_bilesik,politika_bilesik_gercek,carry_2y_tlref,carry_2y_politika,carry_2y_aofm,carry_3a_tlref,carry_2y_tlref_basit,carry_2y_aofm_basit,konvansiyon_farki_tlref,pka_12a,pka_24a,pka_5y,pka_faiz_12a,pka_faiz_24a,tufe_yillik,pka_12a_n,pka_ort_1y,pka_ort_2y,pka_ort_3y,pka_ort_5y,pka_ort_7y,reel_ileri,reel_geriye,reel_ileri_2y,reel_ileri_basit,fisher_basit_fark,reel_makas,r1y,r2y,r3y,r5y,r7y,be_1y,be_2y,be_3y,be_5y,be_7y,prim_1y,prim_2y,prim_3y,prim_5y,prim_7y,pc1,pc2,pc3
2013-01-01,6.093956,6.251302,6.247704,6.233777,6.378905,6.576524,6.673247,6.727979,6.233242,120.000000,0.060274,9.706849,38.000000,55.000000,27.000000,0.004768,0.135670,0.494202,0.342747,0.139821,-0.356674,0.191291,6.219852,6.669755,6.805636,6.917601,,,,,,,,,,False,,,,,,,,,,,,,,,,,6.369554,,,,,,,,-0.114553,,,,,,,,,,,,,,,,,,,,-31.964574,-3.040999,0.531773
2013-01-02,6.167461,6.270000,6.256265,6.231027,6.378216,6.577063,6.673857,6.727199,6.231079,120.000000,0.057534,9.704110,38.000000,55.000000,27.000000,0.004701,0.385012,0.496172,0.346036,0.063567,-0.371273,0.195900,6.205796,6.673207,6.808379,6.915167,,,5.550000,5.000000,9.000000,,,21000.000000,5.550000,True,,,5.706456,,,,0.524572,,,0.681027,,,,,,,6.369554,,,,,,,,-0.106505,,,,,,,,,,,,,,,,,,,,-31.919336,-3.086441,0.500473
2013-01-03,6.024031,6.098585,6.142793,6.206981,6.383069,6.581908,6.673237,6.724445,6.203698,120.000000,0.054795,9.701370,38.000000,55.000000,27.000000,0.006798,0.174811,0.517463,0.374927,0.182950,-0.310739,0.232391,6.271209,6.736121,6.832595,6.902883,,,5.560000,5.000000,9.000000,,,20000.000000,5.560000,True,,,5.717025,,,,0.489956,,,0.646981,,,,,,,6.369554,,,,,,,,-0.213183,,,,,,,,,,,,,,,,,,,,-32.117766,-2.943483,0.519418
2013-01-04,6.146435,6.236413,6.323766,6.393724,6.559675,6.755197,6.847820,6.898593,6.389944,120.000000,0.052055,9.698630,38.000000,55.000000,27.000000,0.003628,0.183815,0.504870,0.361473,0.247289,-0.291516,0.218077,6.463728,6.892354,6.996861,7.078110,,,5.580000,5.000000,9.000000,,,20000.000000,5.580000,True,,,5.738168,,,,0.655556,,,0.813724,,,,,,,6.369554,,,,,,,,-0.043047,,,,,,,,,,,,,,,,,,,,-31.699596,-2.810317,0.521478
2013-01-07,6.192270,6.335993,6.422650,6.577385,6.784174,7.001950,7.097237,7.149317,6.570325,120.000000,0.043836,9.690411,38.000000,55.000000,27.000000,0.003444,0.121375,0.571932,0.424566,0.385115,-0.269831,0.277199,6.732344,7.198957,7.285933,7.333811,,,5.590000,5.000000,9.000000,,,19500.000000,5.590000,True,,,5.748740,,,,0.828645,,,0.987385,,,,,,,6.163804,,,,,,,,0.243818,,,,,,,,,,,,,,,,,,,,-31.316943,-2.528762,0.470071
2013-01-08,6.141017,6.156944,6.340035,6.422750,6.593838,6.847402,6.973285,7.044412,6.417981,120.000000,0.041096,9.687671,38.000000,55.000000,27.000000,0.003865,0.293674,0.621662,0.424652,0.281733,-0.341937,0.227642,6.505529,6.936839,7.131444,7.291185,,,5.580000,5.000000,9.000000,,,20000.000000,5.580000,True,,,5.738168,,,,0.684582,,,0.842750,,,,,,,6.163804,,,,,,,,0.166000,,,,,,,,,,,,,,,,,,,,-31.652346,-2.663683,0.480733
2013-01-09,6.034294,6.072233,6.192548,6.214326,6.358360,6.624598,6.774773,6.862768,6.212235,123.000000,0.057534,9.684932,38.000000,58.000000,27.000000,0.004986,0.204296,0.648443,0.410273,0.180032,-0.388496,0.172103,6.236107,6.647015,6.898994,7.161229,,,5.580000,5.000000,9.000000,,,20500.000000,5.580000,True,,,5.738168,,,,0.476158,,,0.634326,,,,,,,6.163804,,,,,,,,0.027076,,,,,,,,,,,,,,,,,,,,-32.072880,-2.886688,0.488008
2013-01-10,6.064624,6.104296,6.209008,6.218602,6.357036,6.622637,6.775124,6.861801,6.217077,123.000000,0.054795,9.682192,38.000000,58.000000,27.000000,0.002837,0.215082,0.643200,0.404035,0.153977,-0.394442,0.164871,6.228196,6.634445,6.892847,7.161512,,,5.580000,5.000000,9.000000,,,20200.000000,5.580000,True,,,5.738168,,,,0.480434,,,0.638602,,,,,,,6.163804,,,,,,,,0.042580,,,,,,,,,,,,,,,,,,,,-32.036666,-2.915296,0.480769
2013-01-11,5.961218,6.137843,6.154971,6.210869,6.379953,6.583225,6.673791,6.723963,6.207844,123.000000,0.052055,9.679452,38.000000,58.000000,27.000000,0.005959,0.678146,0.513094,0.372356,0.249651,-0.316458,0.231617,6.266796,6.718931,6.832187,6.900148,,,5.640000,5.000000,9.000000,,,15700.000000,5.640000,True,,,5.801620,,,,0.409249,,,0.570869,,,,,,,6.163804,,,,,,,,-0.008320,,,,,,,,,,,,,,,,,,,,-32.123509,-2.924696,0.545966
2013-01-14,5.993766,6.112770,6.204821,6.217975,6.356608,6.624122,6.774175,6.861578,6.216418,123.000000,0.043836,9.671233,38.000000,58.000000,27.000000,0.004164,0.134431,0.643604,0.406147,0.224209,-0.392994,0.168691,6.231129,6.634417,6.895749,7.159143,,,5.640000,5.000000,9.000000,,,15200.000000,5.640000,True,,,5.801620,,,,0.416355,,,0.577975,,,,,,,6.163804,,,,,,,,0.038636,,,,,,,,,,,,,,,,,,,,-32.068014,-2.880821,0.506271
2013-01-15,6.044521,6.095703,6.198486,6.214209,6.358680,6.624930,6.776527,6.862769,6.212505,123.000000,0.041096,9.668493,38.000000,58.000000,27.000000,0.006569,0.717642,0.648560,0.410721,0.169688,-0.394997,0.172882,6.229935,6.648212,6.899626,7.160813,,,5.640000,5.000000,9.000000,,,15700.000000,5.640000,True,,,5.801620,,,,0.412590,,,0.574209,,,,,,,6.163804,,,,,,,,0.032668,,,,,,,,,,,,,,,,,,,,-32.054612,-2.899293,0.481977
2013-01-16,6.106871,6.166512,6.250784,6.235405,6.386293,6.676083,6.834753,6.925205,6.234680,121.000000,0.057534,9.665753,36.000000,58.000000,27.000000,0.004568,0.176989,0.689800,0.440678,0.128534,-0.456056,0.191555,6.220029,6.688712,6.970883,7.237427,,,5.640000,5.000000,9.000000,,,15450.000000,5.640000,True,,,5.801620,,,,0.433786,,,0.595405,,,,,,,6.163804,,,,,,,,0.081930,,,,,,,,,,,,,,,,,,,,-31.926174,-2.895470,0.443065
2013-01-17,6.133227,6.123136,6.254656,6.196100,6.375564,6.656575,6.794902,6.872800,6.195959,121.000000,0.054795,9.663014,36.000000,58.000000,27.000000,0.003529,0.141854,0.676699,0.460475,0.062873,-0.519030,0.244250,6.137577,6.735402,6.964667,7.143697,,,5.640000,5.000000,9.000000,,,16000.000000,5.640000,True,,,5.801620,,,,0.394481,,,0.556100,,,,,,,6.163804,,,,,,,,0.085577,,,,,,,,,,,,,,,,,,,,-31.965040,-2.934108,0.442781
2013-01-18,6.057567,6.096993,6.195300,6.151249,6.309833,6.554973,6.670423,6.735473,6.150981,121.000000,0.052055,9.660274,36.000000,60.000000,25.000000,0.004160,0.095659,0.584224,0.403724,0.093682,-0.447775,0.223224,6.107217,6.627713,6.824975,6.961528,,,5.630000,5.000000,9.000000,,,18000.000000,5.630000,True,,,5.791042,,,,0.360207,,,0.521249,,,,,,,6.163804,,,,,,,,0.029668,,,,,,,,,,,,,,,,,,,,-32.134675,-3.017814,0.504061
2013-01-21,6.016156,5.974806,6.128057,6.119090,6.329078,6.596135,6.720711,6.790230,6.116611,121.000000,0.043836,9.652055,36.000000,60.000000,25.000000,0.002895,0.098340,0.671140,0.477045,0.102934,-0.486012,0.282951,6.110124,6.750302,6.915356,7.033345,,,5.630000,5.000000,9.000000,,,17700.000000,5.630000,True,,,5.791042,,,,0.328048,,,0.489090,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,0.026444,-0.033672,0.164428,0.028057,0.001613,0.060115,,,,,,,,,,,,,,,,-32.220049,-2.904551,0.459579
2013-01-22,5.885484,5.936859,6.055532,6.079936,6.300832,6.562227,6.681917,6.748660,6.077078,121.000000,0.041096,9.649315,38.000000,58.000000,25.000000,0.004558,0.150623,0.668723,0.482290,0.194452,-0.457886,0.295858,6.104346,6.744006,6.884971,6.982159,,,5.630000,5.000000,9.000000,,,16900.000000,5.630000,True,,,5.791042,,,,0.288895,,,0.449936,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.041912,-0.101986,0.127472,-0.044468,-0.002557,0.060074,,,,,,,,,,,,,,,,-32.372616,-2.867666,0.488478
2013-01-23,5.958251,5.949221,6.084374,6.088673,6.286252,6.536467,6.652822,6.719766,6.086467,120.000000,0.095890,9.646575,37.000000,58.000000,25.000000,0.004959,0.154415,0.631094,0.447794,0.130422,-0.443496,0.264495,6.092971,6.682516,6.836046,6.949334,,,5.640000,4.750000,8.750000,,,16350.000000,5.640000,True,,,5.801620,,,,0.287053,,,0.448673,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.014727,-0.074818,0.135718,-0.015626,-0.000898,0.060091,,,,,,,,,,,,,,,,-32.336109,-2.942280,0.493737
2013-01-24,5.827732,5.853975,6.021132,6.052993,6.229127,6.499330,6.631564,6.707423,6.050016,120.000000,0.093151,9.643836,37.000000,58.000000,25.000000,0.003399,0.210212,0.654430,0.446337,0.225260,-0.414477,0.238244,6.084863,6.582273,6.797931,6.968111,,,5.640000,4.750000,8.750000,,,15800.000000,5.640000,True,,,5.801620,,,,0.251373,,,0.412993,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.074333,-0.134388,0.102040,-0.078868,-0.004534,0.060055,,,,,,,,,,,,,,,,-32.515037,-2.891375,0.528447
2013-01-25,5.706216,5.796817,5.962100,6.012370,6.205445,6.477646,6.612765,6.687190,6.008665,120.000000,0.090411,9.641096,37.000000,58.000000,25.000000,0.005673,0.156112,0.674821,0.465276,0.306154,-0.415005,0.255731,6.062664,6.592650,6.788963,6.949702,,,5.630000,4.750000,8.750000,,,13300.000000,5.630000,True,,,5.791042,,,,0.221328,,,0.382370,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.129972,-0.189993,0.063697,-0.137900,-0.007928,0.060021,,,,,,,,,,,,,,,,-32.656899,-2.838045,0.550706
2013-01-28,5.689591,5.793042,5.965329,6.013024,6.205462,6.477524,6.612511,6.688358,6.009326,120.000000,0.082192,9.632877,37.000000,58.000000,25.000000,0.005238,0.108363,0.675335,0.464500,0.323433,-0.416805,0.253665,6.060740,6.591387,6.788320,6.952489,,,5.630000,4.750000,8.750000,,,13600.000000,5.630000,True,,,5.791042,,,,0.221982,,,0.383024,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.126928,-0.186952,0.064314,-0.134671,-0.007743,0.060023,,,,,,,,,,,,,,,,-32.664743,-2.828606,0.560286
2013-01-29,5.750214,5.803117,5.907272,6.022162,6.270585,6.557276,6.686043,6.759073,6.016438,120.000000,0.079452,9.630137,40.000000,55.000000,25.000000,0.005932,0.179520,0.736911,0.535114,0.271948,-0.420224,0.333317,6.137177,6.769177,6.915519,7.011856,,,5.620000,4.750000,8.750000,,,14900.000000,5.620000,True,,,5.780465,,,,0.241697,,,0.402162,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.181647,-0.241637,0.072939,-0.192728,-0.011080,0.059990,,,,,,,,,,,,,,,,-32.592458,-2.758926,0.460564
2013-01-30,5.603856,5.732135,5.826495,5.991586,6.237705,6.579417,6.754216,6.853893,5.985024,120.000000,0.076712,9.627397,40.000000,55.000000,25.000000,0.003322,0.368820,0.862307,0.587832,0.387730,-0.422741,0.313356,6.156934,6.731661,6.973115,7.197981,,,5.610000,4.750000,8.750000,,,15200.000000,5.610000,True,,,5.769889,,,,0.221697,,,0.381586,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.257781,-0.317725,0.044078,-0.273505,-0.015725,0.059945,,,,,,,,,,,,,,,,-32.728204,-2.626394,0.437918
2013-01-31,5.669290,5.761651,5.837452,6.001622,6.263420,6.640509,6.842486,6.959054,5.995248,120.000000,0.073973,9.624658,40.000000,55.000000,25.000000,0.004724,0.126591,0.957432,0.638887,0.332333,-0.474717,0.320341,6.166047,6.788957,7.068571,7.358574,,,5.600000,4.750000,8.750000,,,18000.000000,5.600000,True,,,5.759314,,,,0.242308,,,0.401622,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.247453,-0.307404,0.053552,-0.262548,-0.015095,0.059951,,,,,,,,,,,,,,,,-32.629741,-2.590128,0.362491
2013-02-01,5.520836,5.667153,5.768867,5.942511,6.185611,6.556241,6.761254,6.879146,5.935730,120.000000,0.071233,9.621918,40.000000,55.000000,25.000000,0.005135,0.130466,0.936635,0.613730,0.421675,-0.440086,0.290826,6.116440,6.673485,6.967369,7.284153,,,5.570000,4.750000,8.750000,,,20000.000000,5.570000,True,,,5.727596,,,,0.214915,,,0.372511,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.312095,-0.372007,-0.002242,-0.331133,-0.019038,0.059912,,,,,,,,,,,,,,,,-32.862234,-2.591578,0.428073
2013-02-04,5.506000,5.679943,5.733522,5.891806,6.203889,6.591193,6.773680,6.876837,5.885146,120.000000,0.063014,9.613699,40.000000,55.000000,25.000000,0.005673,0.357982,0.985031,0.699387,0.385806,-0.541103,0.413743,6.050327,6.830816,7.060016,7.234969,,,5.570000,4.750000,8.750000,,,20500.000000,5.570000,True,,,5.727596,,,,0.164210,,,0.321806,,6.100000,5.790000,,5.450000,5.640000,6.163804,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.345408,-0.405300,-0.050102,-0.366478,-0.021070,0.059892,,,,,,,,,,,,,,,,-32.880018,-2.563937,0.374337
2013-02-05,5.567449,5.747002,5.789575,5.940541,6.202039,6.603332,6.839618,6.980602,5.934720,120.000000,0.060274,9.610959,41.000000,54.000000,25.000000,0.004735,0.295794,1.040061,0.662791,0.373092,-0.511825,0.285521,6.091723,6.726974,7.047495,7.454067,,,5.570000,4.750000,8.750000,,,19783.000000,5.570000,True,,,5.727596,,,,0.212945,,,0.370541,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.292578,-1.414698,-0.004102,-0.310425,-0.017847,1.122120,,,,,,,,,,,,,,,,-32.760131,-2.580017,0.358531
2013-02-06,5.634174,5.742148,5.745099,5.907300,6.151278,6.551935,6.812919,6.984723,5.901512,120.000000,0.057534,9.608219,41.000000,54.000000,25.000000,0.005317,0.185264,1.077423,0.644635,0.273127,-0.482433,0.211847,6.069751,6.640922,6.983871,7.528181,,,5.570000,4.750000,8.750000,,,20283.000000,5.570000,True,,,5.727596,,,,0.179704,,,0.337300,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.334497,-1.456146,-0.035477,-0.354901,-0.020404,1.121649,,,,,,,,,,,,,,,,-32.801105,-2.669716,0.314874
2013-02-07,5.486384,5.658191,5.721295,5.876502,6.107453,6.529465,6.847620,7.057584,5.870809,120.000000,0.054795,9.605479,41.000000,54.000000,25.000000,0.003955,0.317896,1.181081,0.652963,0.390118,-0.497755,0.124844,6.031938,6.570866,6.967009,7.721415,,,5.570000,4.750000,8.750000,,,19783.000000,5.570000,True,,,5.727596,,,,0.148906,,,0.306502,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.356932,-1.478328,-0.064547,-0.378705,-0.021773,1.121396,,,,,,,,,,,,,,,,-32.942322,-2.579604,0.350219
2013-02-08,5.522729,5.611331,5.675650,5.793036,6.051701,6.572843,6.927899,7.114838,5.788394,120.000000,0.052055,9.602740,41.000000,54.000000,25.000000,0.003195,0.411933,1.321803,0.779807,0.270307,-0.662421,0.237811,5.910552,6.570930,7.095904,7.796211,,,5.550000,4.750000,8.750000,,,19783.000000,5.550000,True,,,5.706456,,,,0.086580,,,0.243036,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.399953,-1.520865,-0.143330,-0.424350,-0.024397,1.120912,,,,,,,,,,,,,,,,-32.986705,-2.556043,0.222970
2013-02-11,5.531248,5.623845,5.684358,5.819369,6.035569,6.526102,6.870594,7.035810,5.814460,120.000000,0.043836,9.594521,41.000000,54.000000,25.000000,0.004647,0.280213,1.216441,0.706732,0.288121,-0.571721,0.197024,5.954553,6.469295,6.999877,7.676376,,,5.550000,4.750000,8.750000,,,19283.000000,5.550000,True,,,5.706456,,,,0.112913,,,0.269369,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.391746,-1.512750,-0.118474,-0.415642,-0.023896,1.121004,,,,,,,,,,,,,,,,-32.994897,-2.615463,0.272562
2013-02-12,5.552936,5.628060,5.740582,5.849959,6.060403,6.557131,6.906601,7.070109,5.845407,120.000000,0.041096,9.591781,41.000000,54.000000,25.000000,0.005298,0.197824,1.220150,0.707172,0.297023,-0.597795,0.194194,5.959449,6.482546,7.031202,7.714806,,,5.550000,4.750000,8.750000,,,20500.000000,5.550000,True,,,5.706456,,,,0.143504,,,0.299959,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.338754,-1.460354,-0.089601,-0.359418,-0.020664,1.121601,,,,,,,,,,,,,,,,-32.921080,-2.588387,0.283756
2013-02-13,5.452778,5.582716,5.735251,5.823759,6.102349,6.616954,6.923317,7.104257,5.819090,119.000000,0.057534,9.589041,40.000000,54.000000,25.000000,0.004140,0.204296,1.280497,0.793194,0.370982,-0.704686,0.305892,5.912342,6.661730,7.149050,7.716518,,,5.550000,4.750000,8.750000,,,19700.000000,5.550000,True,,,5.706456,,,,0.117304,,,0.273759,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.343778,-1.465322,-0.114330,-0.364749,-0.020970,1.121544,,,,,,,,,,,,,,,,-32.965783,-2.473763,0.294966
2013-02-14,5.681196,5.695593,5.778803,5.898507,6.146481,6.660871,6.996353,7.151118,5.893701,119.000000,0.054795,9.586301,40.000000,54.000000,25.000000,0.004950,0.214621,1.252611,0.762364,0.217311,-0.642660,0.272117,6.018346,6.644174,7.172160,7.767097,,,5.560000,4.750000,8.750000,,,18200.000000,5.560000,True,,,5.717025,,,,0.181482,,,0.338507,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.302730,-1.424736,-0.043777,-0.321197,-0.018467,1.122006,,,,,,,,,,,,,,,,-32.717097,-2.549745,0.201661
2013-02-15,5.573202,5.634744,5.750157,5.867709,6.152777,6.662196,6.954006,7.121143,5.862534,119.000000,0.052055,9.583562,40.000000,54.000000,25.000000,0.003974,0.226558,1.253434,0.794487,0.294507,-0.676934,0.335539,5.985393,6.725218,7.195163,7.697606,,,5.540000,4.750000,8.750000,,,17700.000000,5.540000,True,,,5.695887,,,,0.171822,,,0.327709,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.329730,-1.451432,-0.072847,-0.349843,-0.020114,1.121702,,,,,,,,,,,,,,,,-32.826267,-2.492518,0.244595
2013-02-18,5.584509,5.668338,5.737288,5.854518,6.098805,6.597133,6.916374,7.049174,5.849869,119.000000,0.043836,9.575342,40.000000,54.000000,25.000000,0.005580,0.197171,1.194656,0.742615,0.270009,-0.625386,0.290575,5.971877,6.589073,7.095102,7.616921,,,5.540000,4.750000,8.750000,,,18022.000000,5.540000,True,,,5.695887,,,,0.158631,,,0.314518,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.341858,-1.463424,-0.085298,-0.362712,-0.020853,1.121566,,,,,,,,,,,,,,,,-32.861952,-2.578801,0.252099
2013-02-19,5.632930,5.624788,5.698004,5.810582,6.023890,6.538238,6.895985,7.026563,5.806231,119.000000,0.041096,9.572603,40.000000,54.000000,25.000000,0.004683,0.570481,1.215980,0.727656,0.177652,-0.615077,0.239331,5.923281,6.451796,7.026120,7.640117,,,5.540000,4.750000,8.750000,,,17410.000000,5.540000,True,,,5.695887,,,,0.114695,,,0.270582,,6.100000,5.790000,,5.450000,5.640000,7.307654,71.000000,6.100000,5.944887,5.944887,5.944887,5.944887,-0.378884,-1.500033,-0.126768,-0.401996,-0.023112,1.121149,,,,,,,,,,,,,,,,-32.939217,-2.658535,0.216320
2013-02-20,5.599683,5.571569,5.720928,5.837679,6.016801,6.473287,6.813852,7.014106,5.832907,128.000000,0.057534,9.569863,40.000000,63.000000,25.000000,0.004828,0.237841,1.176426,0.635608,0.237996,-0.518856,0.094789,5.954560,6.375955,6.899145,7.693994,,,5.540000,4.500000,8.500000,,,18262.000000,5.540000,True,,,5.695887,,,,0.141792,,,0.297679,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.329096,-1.478670,-0.082343,-0.349072,-0.019976,1.149574,,,,,,,,,,,,,,,,-32.997129,-2.693056,0.318883
2013-02-21,5.218507,5.397336,5.597811,5.770456,5.969357,6.520016,6.960929,7.187789,5.763811,128.000000,0.054795,9.567123,40.000000,63.000000,25.000000,0.005151,0.152811,1.417333,0.749561,0.551949,-0.576916,0.081788,5.943383,6.368283,7.022672,8.028394,,,5.530000,4.500000,8.500000,,,21449.000000,5.530000,True,,,5.685320,,,,0.085136,,,0.240456,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.445168,-1.593403,-0.145806,-0.472189,-0.027022,1.148236,,,,,,,,,,,,,,,,-33.300317,-2.364191,0.328309
2013-02-22,5.281191,5.375728,5.610071,5.763503,5.975712,6.529550,6.964944,7.190249,5.756928,128.000000,0.052055,9.564384,40.000000,63.000000,25.000000,0.004690,0.082192,1.426746,0.766047,0.482311,-0.612616,0.105349,5.917157,6.401407,7.043328,8.021887,,,5.530000,4.500000,8.500000,,,21449.000000,5.530000,True,,,5.685320,,,,0.078183,,,0.233503,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.433609,-1.581978,-0.152370,-0.459929,-0.026320,1.148369,,,,,,,,,,,,,,,,-33.272268,-2.383525,0.304195
2013-02-25,5.291809,5.429033,5.584831,5.769874,5.991257,6.511138,6.945985,7.201057,5.762758,128.000000,0.043836,9.556164,40.000000,63.000000,25.000000,0.004134,0.140469,1.431183,0.741264,0.478065,-0.556222,0.051345,5.955241,6.435414,7.008198,8.069744,,,5.530000,4.500000,8.500000,,,21597.000000,5.530000,True,,,5.685320,,,,0.084554,,,0.239874,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.457404,-1.605499,-0.146355,-0.485169,-0.027764,1.148094,,,,,,,,,,,,,,,,-33.256532,-2.414221,0.297971
2013-02-26,5.325757,5.420430,5.600262,5.713963,5.892211,6.430020,6.891570,7.156022,5.709048,128.000000,0.041096,9.553425,40.000000,63.000000,25.000000,0.002459,0.062931,1.442059,0.716057,0.388206,-0.602356,-0.009945,5.827787,6.249609,6.910084,8.070492,,,5.530000,4.500000,8.500000,,,21459.000000,5.530000,True,,,5.685320,,,,0.028643,,,0.183963,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.442857,-1.591119,-0.199139,-0.469738,-0.026881,1.148262,,,,,,,,,,,,,,,,-33.328298,-2.541502,0.301730
2013-02-27,5.388757,5.426359,5.615693,5.782031,5.948436,6.413716,6.844021,7.127257,5.775715,127.000000,0.076712,9.550685,39.000000,63.000000,25.000000,0.003143,0.082875,1.345226,0.631685,0.393274,-0.465347,-0.081855,5.948631,6.282033,6.836934,8.025915,,,5.530000,4.500000,8.500000,,,21077.000000,5.530000,True,,,5.685320,,,,0.096711,,,0.252031,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.428309,-1.576739,-0.134879,-0.454307,-0.025998,1.148430,,,,,,,,,,,,,,,,-33.259519,-2.574356,0.349159
2013-02-28,5.366491,5.494576,5.631123,5.774122,5.986458,6.427797,6.807046,7.111774,5.768066,127.000000,0.073973,9.547945,39.000000,63.000000,25.000000,0.002540,0.225922,1.337652,0.653674,0.407631,-0.510675,-0.030303,5.917315,6.412408,6.865822,7.972931,,,5.530000,4.500000,8.500000,,,17570.000000,5.530000,True,,,5.685320,,,,0.088803,,,0.244122,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.413761,-1.562359,-0.142345,-0.438877,-0.025115,1.148598,,,,,,,,,,,,,,,,-33.228134,-2.584390,0.366143
2013-03-01,5.347720,5.465943,5.586348,5.750888,5.937867,6.396637,6.805208,7.065410,5.744790,127.000000,0.071233,9.545205,39.000000,63.000000,25.000000,0.002995,0.125521,1.314522,0.645750,0.403168,-0.481210,-0.023022,5.915684,6.312818,6.829326,7.907289,,,5.530000,4.500000,8.500000,,,17128.000000,5.530000,True,,,5.685320,,,,0.065568,,,0.220888,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.455974,-1.604085,-0.164280,-0.483652,-0.027678,1.148111,,,,,,,,,,,,,,,,-33.303563,-2.598190,0.349981
2013-03-04,5.305295,5.459965,5.621417,5.769300,5.939217,6.389130,6.775686,6.991157,5.763560,127.000000,0.063014,9.536986,39.000000,63.000000,25.000000,0.005543,0.313707,1.221857,0.619830,0.464006,-0.471947,0.017803,5.917391,6.279869,6.804367,7.748483,,,5.530000,4.500000,8.500000,,,20356.000000,5.530000,True,,,5.685320,,,,0.083981,,,0.239300,,6.070000,5.780000,,5.450000,5.570000,7.307654,80.000000,6.070000,5.924901,5.924901,5.924901,5.924901,-0.422912,-1.571405,-0.146897,-0.448583,-0.025671,1.148492,,,,,,,,,,,,,,,,-33.312070,-2.591518,0.410080
